Sentiment,Date,Username,Tweet
0,Mon Apr 06 22:19:45 PDT 2009,  _TheSpecialOne_,@switchfoot http://twitpic.com/2y1zl - Awww that's a bummer.  You shoulda got David Carr of Third Day to do it. D          
0,Mon Apr 06 22:19:49 PDT 2009,  scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!              
0,Mon Apr 06 22:19:53 PDT 2009,  mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds                                         
0,Mon Apr 06 22:19:57 PDT 2009,  ElleCTF,my whole body feels itchy and like its on fire                                                                                     
0,Mon Apr 06 22:19:57 PDT 2009,  Karoli,@nationwideclass no it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.                       
0,Mon Apr 06 22:20:00 PDT 2009,  joy_wolf,@Kwesidei not the whole crew                                                                                                      
0,Mon Apr 06 22:20:03 PDT 2009,  mybirch,Need a hug                                                                                                                         
0,Mon Apr 06 22:20:03 PDT 2009,  coZZ,@LOLTrish hey  long time no see! Yes.. Rains a bit only a bit  LOL  I'm fine thanks  how's you ?                                      
0,Mon Apr 06 22:20:05 PDT 2009,  2Hood4Hollywood,@Tatiana_K nope they didn't have it                                                                                        
0,Mon Apr 06 22:20:09 PDT 2009,  mimismo,@twittera que me muera ?                                                                                                           
0,Mon Apr 06 22:20:16 PDT 2009,  erinx3leannexo,spring break in plain city... it's snowing                                                                                  
0,Mon Apr 06 22:20:17 PDT 2009,  pardonlauren,I just re-pierced my ears                                                                                                     
0,Mon Apr 06 22:20:19 PDT 2009,  TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .                                        
0,Mon Apr 06 22:20:19 PDT 2009,  robrobbierobert,@octolinz16 It it counts idk why I did either. you never talk to me anymore                                                
0,Mon Apr 06 22:20:20 PDT 2009,  bayofwolves,@smarrison i would've been the first but i didn't have a gun.    not really though zac snyder's just a doucheclown.            
0,Mon Apr 06 22:20:20 PDT 2009,  HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!                         
0,Mon Apr 06 22:20:22 PDT 2009,  lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?                               
0,Mon Apr 06 22:20:25 PDT 2009,  armotley,about to file taxes                                                                                                               
0,Mon Apr 06 22:20:31 PDT 2009,  starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!                                                                
0,Mon Apr 06 22:20:34 PDT 2009,  gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?                                                   
0,Mon Apr 06 22:20:37 PDT 2009,  quanvu,@alydesigns i was out most of the day so didn't get much done                                                                       
0,Mon Apr 06 22:20:38 PDT 2009,  swinspeedx,one of my friend called me and asked to meet with her at Mid Valley today...but i've no time *sigh*                             
0,Mon Apr 06 22:20:40 PDT 2009,  cooliodoc,@angry_barista I baked you a cake but I ated it                                                                                  
0,Mon Apr 06 22:20:40 PDT 2009,  viJILLante,this week is not going as i had hoped                                                                                           
0,Mon Apr 06 22:20:41 PDT 2009,  Ljelli3166,blagh class at 8 tomorrow                                                                                                       
0,Mon Apr 06 22:20:44 PDT 2009,  ChicagoCubbie,I hate when I have to call and wake people up                                                                                
0,Mon Apr 06 22:20:50 PDT 2009,  KatieAngell,Just going to cry myself to sleep after watching Marley and Me.                                                                
0,Mon Apr 06 22:20:52 PDT 2009,  gagoo,im sad now  Miss.Lilly                                                                                                               
0,Mon Apr 06 22:20:56 PDT 2009,  abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again                                           
0,Mon Apr 06 22:21:04 PDT 2009,  BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time.                                           
0,Mon Apr 06 22:21:07 PDT 2009,  fatkat309,some1 hacked my account on aim  now i have to make a new one                                                                     
0,Mon Apr 06 22:21:07 PDT 2009,  EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though  
0,Mon Apr 06 22:21:09 PDT 2009,  merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
0,Mon Apr 06 22:21:11 PDT 2009,  Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you                                                                          
0,Mon Apr 06 22:21:21 PDT 2009,  jsoo,@HumpNinja I cry my asian eyes to sleep at night                                                                                      
0,Mon Apr 06 22:21:20 PDT 2009,  scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
0,Mon Apr 06 22:21:27 PDT 2009,  crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...                          
0,Mon Apr 06 22:21:30 PDT 2009,  ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge                                                                      
0,Mon Apr 06 22:21:32 PDT 2009,  Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases.                          
0,Mon Apr 06 22:21:39 PDT 2009,  Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend            
0,Mon Apr 06 22:21:39 PDT 2009,  itsanimesh,really don't feel like getting up today... but got to study to for tomorrows practical exam...                                  
0,Mon Apr 06 22:21:46 PDT 2009,  lionslamb,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart                               
0,Mon Apr 06 22:21:49 PDT 2009,  kennypham,Sad sad sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!                                          
0,Mon Apr 06 22:21:53 PDT 2009,  DdubsShellBell,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it                        
0,Mon Apr 06 22:21:56 PDT 2009,  hpfangirl94,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.                 
0,Mon Apr 06 22:22:05 PDT 2009,  antzpantz,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you...                                   
0,Mon Apr 06 22:22:06 PDT 2009,  labrt2004,Just checked my user timeline on my blackberry it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UI
0,Mon Apr 06 22:22:07 PDT 2009,  IrisJumbe,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it                                                       
0,Mon Apr 06 22:22:13 PDT 2009,  peacoats,is strangely sad about LiLo and SamRo breaking up.                                                                                
0,Mon Apr 06 22:22:25 PDT 2009,  cyantist,@tea oh! i'm so sorry  i didn't think about that before retweeting.                                                               
0,Mon Apr 06 22:22:23 PDT 2009,  tautao,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are    
0,Mon Apr 06 22:22:24 PDT 2009,  voyage2k,@localtweeps Wow tons of replies from you may have to unfollow so I can see my friends' tweets you're scrolling the feed a lot.   
0,Mon Apr 06 22:22:26 PDT 2009,  crzy_cdn_bulas,our duck and chicken are taking wayyy too long to hatch                                                                     
0,Mon Apr 06 22:22:30 PDT 2009,  justnetgirl,Put vacation photos online a few yrs ago. PC crashed and now I forget the name of the site.                                    
0,Mon Apr 06 22:22:32 PDT 2009,  CiaraRenee,I need a hug                                                                                                                    
0,Mon Apr 06 22:22:37 PDT 2009,  deelau,@andywana Not sure what they are only that they are PoS! As much as I want to I dont think can trade away company assets sorry andy! 
0,Mon Apr 06 22:22:47 PDT 2009,  Lindsey0920,@oanhLove I hate when that happens...                                                                                          
0,Mon Apr 06 22:22:47 PDT 2009,  HybridMink,I have a sad feeling that Dallas is not going to show up  I gotta say though you'd think more shows would use music from the game. mm
0,Mon Apr 06 22:22:49 PDT 2009,  gzacher,Ugh....92 degrees tomorrow                                                                                                         
0,Mon Apr 06 22:22:49 PDT 2009,  Jenn_L,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.                      
0,Mon Apr 06 22:22:52 PDT 2009,  xVivaLaJuicyx,@BatManYNG I miss my ps3 it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?                        
0,Mon Apr 06 22:22:55 PDT 2009,  krbleyle,just leaving the parking lot of work!                                                                                             
0,Mon Apr 06 22:23:03 PDT 2009,  xpika,The Life is cool. But not for Me.                                                                                                    
0,Mon Apr 06 22:23:08 PDT 2009,  Henkuyinepu,Sadly though I've never gotten to experience the post coitus cigarette before and now I never will.                            
0,Mon Apr 06 22:23:09 PDT 2009,  ericg622,I had such a nice day. Too bad the rain comes in tomorrow at 5am                                                                  
0,Mon Apr 06 22:23:15 PDT 2009,  adri_mane,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks                                
0,Mon Apr 06 22:23:23 PDT 2009,  a_mariepyt,Damm back to school tomorrow                                                                                                    
0,Mon Apr 06 22:23:28 PDT 2009,  playboybacon,Mo jobs no money.  how in the hell is min wage here 4 f'n clams an hour?                                                      
0,Mon Apr 06 22:23:28 PDT 2009,  leslierosales,@katortiz  Not forever... See you soon!                                                                                      
0,Mon Apr 06 22:23:30 PDT 2009,  PresidentSnow,@Lt_Algonquin agreed I saw the failwhale allllll day today.                                                                  
0,Mon Apr 06 22:23:35 PDT 2009,  michrod,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
0,Mon Apr 06 22:23:39 PDT 2009,  timmelko,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!                    
0,Mon Apr 06 22:23:43 PDT 2009,  BrookeAmanda,i really hate how people diss my bands!  Trace is clearly NOT ugly!                                                           
0,Mon Apr 06 22:23:43 PDT 2009,  deelau,Gym attire today was: Puma singlet Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.
0,Mon Apr 06 22:23:45 PDT 2009,  paulseverio,Why won't you show my location?!   http://twitpic.com/2y2es                                                                    
0,Mon Apr 06 22:25:44 PDT 2009,  iv3tte,No picnic  my phone smells like citrus.                                                                                             
0,Mon Apr 06 22:25:44 PDT 2009,  fedunska,@ashleyac My donkey is sensitive about such comments. Nevertheless he'd (and me'd) be glad to see your mug asap. Charger is still awol.
0,Mon Apr 06 22:25:45 PDT 2009,  MagicalMason,No new csi tonight.  FML                                                                                                      
0,Mon Apr 06 22:25:46 PDT 2009,  kaelaaa,i think my arms are sore from tennis                                                                                               
0,Mon Apr 06 22:25:49 PDT 2009,  emo_holic,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed .                                 
0,Mon Apr 06 22:25:52 PDT 2009,  thelazyboy,sleep soon... i just hate saying bye and see you tomorrow for the night.                                                        
0,Mon Apr 06 22:25:53 PDT 2009,  driveaway2008,@statravelAU just got ur newsletter those fares really are unbelievable shame I already booked and paid for mine             
0,Mon Apr 06 22:25:53 PDT 2009,  mscha,missin' the boo                                                                                                                      
0,Mon Apr 06 22:25:54 PDT 2009,  mike_webster_au,@markhardy1974 Me too  #itm                                                                                                
0,Mon Apr 06 22:25:54 PDT 2009,  basiabeans,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS                                                                        
0,Mon Apr 06 22:25:56 PDT 2009,  calihonda2001,had a blast at the Getty Villa but hates that she's had a sore throat all day. It's just getting worse too                   
0,Mon Apr 06 22:26:02 PDT 2009,  djwayneski,@msdrama hey missed ya at the meeting  sup mama                                                                                 
0,Mon Apr 06 22:26:06 PDT 2009,  Ceejison,My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so it's working I get it STOP SMOKING!!!                 
0,Mon Apr 06 22:26:08 PDT 2009,  ItsBrigittaYo,why is it always the fat ones?!                                                                                              
0,Mon Apr 06 22:26:10 PDT 2009,  MissLaura317,@januarycrimson Sorry babe!!  My fam annoys me too. Thankfully they're asleep right now. Muahaha. *evil laugh*                
0,Mon Apr 06 22:26:10 PDT 2009,  RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad              
0,Mon Apr 06 22:26:14 PDT 2009,  viviana09,wednesday my b-day! don't know what 2 do!!                                                                                       
0,Mon Apr 06 22:26:18 PDT 2009,  disneyfan4eva,Poor cameron (the hills)                                                                                                     
0,Mon Apr 06 22:26:21 PDT 2009,  RoseMaryK,pray for me please the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache 
0,Mon Apr 06 22:26:22 PDT 2009,  perrohunter,@makeherfamous hmm   do u really enjoy being with him ? if the problems are too constants u should think things more  find someone 
0,Mon Apr 06 22:26:27 PDT 2009,  Dogbook,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435                                              
0,Mon Apr 06 22:26:28 PDT 2009,  natalieantipas,so ryleegrace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....             
0,Mon Apr 06 22:26:29 PDT 2009,  timdonnelly,hey I actually won one of my bracket pools! Too bad it wasn't the one for money                                                
0,Mon Apr 06 22:26:29 PDT 2009,  homeworld,@stark YOU don't follow me either  and i work for you!                                                                           
0,Mon Apr 06 22:26:33 PDT 2009,  willy_chaz,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.                                  
0,Mon Apr 06 22:26:33 PDT 2009,  LeakySpoon, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
0,Mon Apr 06 22:26:38 PDT 2009,  cityrat59,@mangaaa I hope they will increase the capacity fast yesterday was such a pain. Got the fail whale +15 times in 2 hours....      
0,Mon Apr 06 22:26:42 PDT 2009,  kenandise,Behind on my classes for work                                                                                                    
0,Mon Apr 06 22:26:43 PDT 2009,  annette414,watching &quotHouse&quot                                                                                                        
0,Mon Apr 06 22:26:45 PDT 2009,  blackheartbunny,@kpreyes Remember my bum leg? Strikes back this time its serious                                                           
0,Mon Apr 06 22:26:45 PDT 2009,  GetGary,@paradisej cool i will. their are all kinds of complaints about this laptop online about overheating but no recalls                
0,Mon Apr 06 22:26:48 PDT 2009,  Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
0,Mon Apr 06 22:26:49 PDT 2009,  SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?              
0,Mon Apr 06 22:26:52 PDT 2009,  wireandroses,@Henkuyinepu it's overrated                                                                                                   
0,Mon Apr 06 22:26:54 PDT 2009,  jess_higley,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times                  
0,Mon Apr 06 22:26:54 PDT 2009,  missannabanana,laying in bed with no voice..                                                                                               
0,Mon Apr 06 22:26:57 PDT 2009,  Zella17,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy                                                                        
0,Mon Apr 06 22:27:00 PDT 2009,  polarna10,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.                                                     
0,Mon Apr 06 22:26:58 PDT 2009,  megan_rice,@Alliana07 it didn't make any sense to me the suicide thing. I refuse to believe that that is actually what happened.           
0,Mon Apr 06 22:27:02 PDT 2009,  ashleyirvin,@salancaster  hope your ok.                                                                                                    
0,Mon Apr 06 22:27:08 PDT 2009,  eyezup,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
0,Mon Apr 06 22:27:15 PDT 2009,  Jonas_Dreamgirl,@HibaNick yeah aw but i know i wudnt stand a chance                                                                        
0,Mon Apr 06 22:27:16 PDT 2009,  BreannaBonana,ugh. cant sleep. its 1:30am.                                                                                                 
0,Mon Apr 06 22:27:16 PDT 2009,  becklyn13,Hanging in Crooners. Wanna sing. Can't. Sucks.                                                                                   
0,Mon Apr 06 22:27:18 PDT 2009,  sonyolmos,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quotmorning&quot i think.. aww i wanna go to the beach w u girls!!   
0,Mon Apr 06 22:27:21 PDT 2009,  JenBah,Is pissed off that there's no ASBA's for a radio station.                                                                           
0,Mon Apr 06 22:27:22 PDT 2009,  viviana09,wednesday my b-day n don't know what 2 do!                                                                                       
0,Mon Apr 06 22:27:25 PDT 2009,  BustaBusta,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good.                         
0,Mon Apr 06 22:27:31 PDT 2009,  MadameCrow,I am in pain. My back and sides hurt. Not to mention crying is made of fail.                                                    
0,Mon Apr 06 22:27:34 PDT 2009,  weefranniev,Late night snack glass of OJ b/c I'm &quotdown with the sickness&quot then back to sleep...ugh I hate getting sick...          
0,Mon Apr 06 22:27:35 PDT 2009,  ikimmyy,@allyheman but.. but.. but.. I'm not a big fan on camilla belle                                                                    
0,Mon Apr 06 22:27:45 PDT 2009,  yolie81,@grum WAH I can't see clip must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine 
0,Mon Apr 06 22:27:45 PDT 2009,  spacks,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done       
0,Mon Apr 06 22:27:55 PDT 2009,  bgoers,I'm so cold                                                                                                                         
0,Mon Apr 06 22:27:56 PDT 2009,  MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow                                                   
0,Mon Apr 06 22:27:56 PDT 2009,  aaronrothe,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff          
0,Mon Apr 06 22:27:57 PDT 2009,  ilikeoreos,Hoping the tummy rumbles go away soon                                                                                           
0,Mon Apr 06 22:28:02 PDT 2009,  wiccabuffy,@Knights_ No no notice. They told me I'd be working tomorrow and then I called the agency to follow up and they said it was over. 
0,Mon Apr 06 22:28:03 PDT 2009,  HiKeri,almost bedtime                                                                                                                      
0,Mon Apr 06 22:28:04 PDT 2009,  bnr0201,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
0,Mon Apr 06 22:28:05 PDT 2009,  R_Boucher,Agh...snow!!!                                                                                                                    
0,Mon Apr 06 22:28:07 PDT 2009,  josiahmcdermott,i miss kenny powers                                                                                                        
0,Mon Apr 06 22:28:09 PDT 2009,  VanessaSingline,@BridgetsBeaches Thank you for letting people know but now I'm sad that the direct message I got wasn't actually from Bridget 
0,Mon Apr 06 22:28:11 PDT 2009,  varunkumar,...and India missed out its 100th Test victory n 10th consecutive win without a loss.                                           
0,Mon Apr 06 22:28:11 PDT 2009,  JenniOnTheBlock,@JonathanRKnight I guess that's a no then.                                                                                 
0,Mon Apr 06 22:28:15 PDT 2009,  darkninja757,sadly is going to bed.                                                                                                        
0,Mon Apr 06 22:28:18 PDT 2009,  mikecogh,@ozesteph1992 Shame to hear this Stephan                                                                                          
0,Mon Apr 06 22:28:21 PDT 2009,  KandiConnection,@mrsaintnick hey! i'm leavin in the morning...                                                                             
0,Mon Apr 06 22:28:23 PDT 2009,  joechummer,Was intending to finish editing my 536-page novel manuscript tonight but that will probably not happen. And only 12 pages are left 
0,Mon Apr 06 22:28:24 PDT 2009,  kellireneez,laid around too much today... now my head hurts                                                                                
0,Mon Apr 06 22:28:24 PDT 2009,  treehugger25,@twista202 I still haven't read the 9th&amp10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books
0,Mon Apr 06 22:28:26 PDT 2009,  chatpataa,my nokia 1110 died..                                                                                                             
0,Mon Apr 06 22:28:26 PDT 2009,  ThisStoutjunt,My mom might have breast cancer won't find out anything for. Like a week I'm so worried!                                     
0,Mon Apr 06 22:28:33 PDT 2009,  sew_cute,Going to sleep. Hoping tomorrow is a better day.                                                                                  
0,Mon Apr 06 22:28:32 PDT 2009,  Twokids1,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up to
0,Mon Apr 06 22:28:32 PDT 2009,  AKyarnie,@onemoreproject that is lame                                                                                                      
